Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral,Dominant_Emotion
,,,,,,,3.0
,,,,,,,6.0
,,,,,,,6.0
,,,,,,,6.0
,,,,,,,4.0
,,,,,,,6.0
,,,,,,,6.0
,,,,,,,6.0
,,,,,,,4.0
